,date,open,close,high,low,volume
0,2007-03-01,50.0,46.79,50.97,45.8,1977634
1,2007-03-02,47.0,46.41,47.44,45.88,425048
2,2007-03-05,45.98,44.38,46.17,43.53,419197
3,2007-03-06,44.0,45.25,46.0,43.75,297728
4,2007-03-07,45.29,46.48,46.9,44.91,287464
5,2007-03-08,46.1,45.92,46.33,45.68,130984
6,2007-03-09,45.9,45.53,46.1,44.7,160888
7,2007-03-12,45.3,44.71,45.3,44.5,145353
8,2007-03-13,44.81,44.89,45.26,44.62,102320
9,2007-03-14,44.3,44.94,45.1,43.79,173307
10,2007-03-15,45.52,44.96,46.49,44.8,152522
11,2007-03-16,44.99,45.21,45.95,44.4,227547
12,2007-03-20,46.8,45.78,46.92,45.5,222027
13,2007-03-21,45.8,45.1,46.0,44.9,136728
14,2007-03-22,45.45,45.36,45.92,45.23,167510
15,2007-03-23,45.34,45.16,45.53,44.71,139810
16,2007-03-26,45.2,45.94,46.2,45.18,223267
17,2007-03-27,45.79,45.91,46.36,45.63,139338
18,2007-03-28,45.9,46.58,46.9,45.58,258264
19,2007-03-29,46.81,47.4,48.79,46.48,461986
20,2007-03-30,46.96,47.05,47.87,46.72,144617
21,2007-04-02,47.05,48.39,48.7,47.05,231445
22,2007-04-03,48.42,48.21,48.76,47.9,132712
23,2007-04-04,48.22,47.79,48.5,47.55,122455
24,2007-04-05,47.8,47.92,48.0,47.2,122865
25,2007-04-06,47.68,48.01,48.95,47.5,195209
26,2007-04-09,48.09,51.61,51.89,47.7,462770
27,2007-04-10,51.0,52.82,53.68,51.0,407824
28,2007-04-11,52.88,53.54,55.18,52.6,243447
29,2007-04-12,53.98,53.44,58.0,52.95,159270
30,2007-04-13,54.1,55.03,56.44,54.0,266689
31,2007-04-16,55.66,56.42,56.55,55.66,146972
32,2007-04-17,56.45,55.15,57.02,53.6,197244
33,2007-04-18,54.98,53.91,55.09,53.4,130322
34,2007-04-19,53.5,51.98,54.3,50.21,205587
35,2007-04-20,52.66,55.34,56.4,52.37,185690
36,2007-04-23,55.37,56.98,57.57,54.88,146935
37,2007-04-24,57.99,55.82,58.01,55.75,160473
38,2007-04-25,55.12,56.71,57.7,54.91,145938
39,2007-04-26,56.58,58.51,58.68,56.58,184961
40,2007-04-27,58.55,63.6,64.36,58.3,389839
41,2007-04-30,63.2,65.85,67.83,62.38,204190
42,2007-05-08,67.8,65.72,67.98,65.0,132326
43,2007-05-09,64.5,65.72,66.8,63.0,111813
44,2007-05-10,65.76,64.48,66.0,64.3,85845
45,2007-05-11,63.5,62.81,63.9,61.15,160593
46,2007-05-14,61.8,64.01,66.69,60.0,171744
47,2007-05-15,64.4,61.53,64.49,61.45,111534
48,2007-05-16,61.5,62.33,62.98,60.7,98842
49,2007-05-17,62.33,62.85,63.78,62.0,84328
50,2007-05-18,62.49,62.2,62.84,61.01,111773
51,2007-05-21,60.91,63.46,64.59,60.8,168889
52,2007-05-22,63.5,64.0,65.64,63.46,124377
53,2007-05-23,64.13,64.21,65.0,63.6,76321
54,2007-05-24,64.0,62.42,65.0,61.4,114202
55,2007-05-25,61.98,61.92,63.16,61.61,85755
