trade_date,value,ma,ma20,value_ben,buy,sell,return,bench_self
2020-01-10,100000,-0.012967581047381448,-0.04076267664172903,24.06,,,0.0,0.0
2020-01-13,100000,-0.0068994181213632745,-0.03872610141313373,24.53,,,0.0,0.01953449709060692
2020-01-14,100000,-0.002992518703241861,-0.037011637572734804,24.22,,,0.0,0.0066500415627597734
2020-01-15,100295.07330999999,-0.0009143807148794043,-0.03594139650872807,23.91,-0.006234413965087223,,0.002950733099999925,-0.006234413965087223
2020-01-16,100541.07330999999,-0.00012468827930175037,-0.03458021612635082,23.97,-0.0037406483790523633,,0.005410733099999925,-0.0037406483790523633
2020-01-17,99885.07330999999,-0.00012468827930175037,-0.03338528678304248,23.81,,,-0.001149266900000075,-0.010390689941812137
2020-01-20,101812.07330999999,0.0014131338320865533,-0.031411055694098196,24.28,,,0.018120733099999925,0.00914380714879478
2020-01-21,99147.07330999999,-0.0004987531172070015,-0.030268079800499014,23.63,,,-0.008529266900000075,-0.017871986699916863
2020-01-22,98245.07330999999,-0.0027015793848712086,-0.029353699085619463,23.41,,,-0.017549266900000075,-0.027015793848711497
2020-01-23,94514.07330999999,-0.009476309226932584,-0.02929135494596859,22.5,,,-0.05485926690000008,-0.06483790523690768
2020-02-03,85458.21831,-0.02514546965918539,-0.031036990856193093,20.29,-0.15669160432252702,,-0.14541781690000002,-0.15669160432252702
2020-02-04,82932.73184999997,-0.04551122194513726,-0.03363466334164598,19.63,,-0.18412302576891104,-0.17067268150000034,-0.18412302576891104
2020-02-05,82932.73184999997,-0.06300914380714888,-0.03625311720698259,20.01,,,-0.17067268150000034,-0.1683291770573565
2020-02-06,82932.73184999997,-0.07714048212801337,-0.038393599334995775,20.51,,,-0.17067268150000034,-0.14754779717373223
2020-02-07,83180.75584999997,-0.09114713216957612,-0.0404405652535328,20.6,-0.14380714879467987,,-0.1681924415000003,-0.14380714879467987
2020-02-10,83836.11224999998,-0.10320033250207832,-0.04248753117206981,20.91,,-0.13092269326683287,-0.16163887750000022,-0.13092269326683287
