,trade_date
0,1990-12-19
1,1990-12-20
2,1990-12-21
3,1990-12-24
4,1990-12-25
5,1990-12-26
6,1990-12-27
7,1990-12-28
8,1990-12-31
9,1991-01-02
10,1991-01-03
11,1991-01-04
12,1991-01-07
13,1991-01-08
14,1991-01-09
15,1991-01-10
16,1991-01-11
17,1991-01-14
18,1991-01-15
19,1991-01-16
20,1991-01-17
21,1991-01-18
22,1991-01-21
23,1991-01-22
24,1991-01-23
25,1991-01-24
26,1991-01-25
27,1991-01-28
28,1991-01-29
29,1991-01-30
30,1991-01-31
31,1991-02-01
32,1991-02-04
33,1991-02-05
34,1991-02-06
35,1991-02-07
36,1991-02-08
37,1991-02-11
38,1991-02-12
39,1991-02-13
40,1991-02-14
41,1991-02-19
42,1991-02-20
43,1991-02-21
44,1991-02-22
45,1991-02-25
46,1991-02-26
47,1991-02-27
48,1991-02-28
49,1991-03-01
50,1991-03-04
51,1991-03-05
52,1991-03-06
53,1991-03-07
54,1991-03-08
55,1991-03-11
56,1991-03-12
57,1991-03-13
58,1991-03-14
59,1991-03-15
60,1991-03-18
61,1991-03-19
62,1991-03-20
63,1991-03-21
64,1991-03-22
65,1991-03-25
66,1991-03-26
67,1991-03-27
68,1991-03-28
69,1991-03-29
70,1991-04-01
71,1991-04-02
72,1991-04-03
73,1991-04-04
74,1991-04-05
75,1991-04-08
76,1991-04-09
77,1991-04-10
78,1991-04-11
79,1991-04-12
80,1991-04-15
81,1991-04-16
82,1991-04-17
83,1991-04-18
84,1991-04-19
85,1991-04-22
86,1991-04-23
87,1991-04-24
88,1991-04-25
89,1991-04-26
90,1991-04-29
91,1991-04-30
92,1991-05-02
93,1991-05-03
94,1991-05-06
95,1991-05-07
96,1991-05-08
97,1991-05-09
98,1991-05-10
99,1991-05-13
100,1991-05-14
101,1991-05-15
102,1991-05-16
103,1991-05-17
104,1991-05-20
105,1991-05-21
106,1991-05-22
107,1991-05-23
108,1991-05-24
109,1991-05-27
110,1991-05-28
111,1991-05-29
112,1991-05-30
113,1991-05-31
114,1991-06-03
115,1991-06-04
116,1991-06-05
117,1991-06-06
118,1991-06-07
119,1991-06-10
120,1991-06-11
121,1991-06-12
122,1991-06-13
123,1991-06-14
124,1991-06-17
125,1991-06-18
126,1991-06-19
127,1991-06-20
128,1991-06-21
129,1991-06-24
130,1991-06-25
131,1991-06-26
132,1991-06-27
133,1991-06-28
134,1991-07-01
135,1991-07-02
136,1991-07-03
137,1991-07-04
138,1991-07-05
139,1991-07-08
140,1991-07-09
141,1991-07-10
142,1991-07-11
143,1991-07-12
144,1991-07-15
145,1991-07-16
146,1991-07-17
147,1991-07-18
148,1991-07-19
149,1991-07-22
150,1991-07-23
151,1991-07-24
152,1991-07-25
153,1991-07-26
154,1991-07-29
155,1991-07-30
156,1991-07-31
157,1991-08-01
158,1991-08-02
159,1991-08-05
160,1991-08-06
161,1991-08-07
162,1991-08-08
163,1991-08-09
164,1991-08-12
165,1991-08-13
166,1991-08-14
167,1991-08-15
168,1991-08-16
169,1991-08-19
170,1991-08-20
171,1991-08-21
172,1991-08-22
173,1991-08-23
174,1991-08-26
175,1991-08-27
176,1991-08-28
177,1991-08-29
178,1991-08-30
179,1991-09-02
180,1991-09-03
181,1991-09-04
182,1991-09-05
183,1991-09-06
184,1991-09-09
185,1991-09-10
186,1991-09-11
187,1991-09-12
188,1991-09-13
189,1991-09-16
190,1991-09-17
191,1991-09-18
192,1991-09-19
193,1991-09-20
194,1991-09-23
195,1991-09-24
196,1991-09-25
197,1991-09-26
198,1991-09-27
199,1991-09-30
200,1991-10-03
201,1991-10-04
202,1991-10-07
203,1991-10-08
204,1991-10-09
205,1991-10-10
206,1991-10-11
207,1991-10-14
208,1991-10-15
209,1991-10-16
210,1991-10-17
211,1991-10-18
212,1991-10-21
213,1991-10-22
214,1991-10-23
215,1991-10-24
216,1991-10-25
217,1991-10-28
218,1991-10-29
219,1991-10-30
220,1991-10-31
221,1991-11-01
222,1991-11-04
223,1991-11-05
224,1991-11-06
225,1991-11-07
226,1991-11-08
227,1991-11-11
228,1991-11-12
229,1991-11-13
230,1991-11-14
231,1991-11-15
232,1991-11-18
233,1991-11-19
234,1991-11-20
235,1991-11-21
236,1991-11-22
237,1991-11-25
238,1991-11-26
239,1991-11-27
240,1991-11-28
241,1991-11-29
242,1991-12-02
243,1991-12-03
244,1991-12-04
245,1991-12-05
246,1991-12-06
247,1991-12-09
248,1991-12-10
249,1991-12-11
250,1991-12-12
251,1991-12-13
252,1991-12-16
253,1991-12-17
254,1991-12-18
255,1991-12-19
256,1991-12-20
257,1991-12-23
258,1991-12-24
259,1991-12-25
260,1991-12-26
261,1991-12-27
262,1991-12-30
263,1991-12-31
264,1992-01-02
265,1992-01-03
266,1992-01-06
267,1992-01-07
268,1992-01-08
269,1992-01-09
270,1992-01-10
271,1992-01-13
272,1992-01-14
273,1992-01-15
274,1992-01-16
275,1992-01-17
276,1992-01-20
277,1992-01-21
278,1992-01-22
279,1992-01-23
280,1992-01-24
281,1992-01-27
282,1992-01-28
283,1992-01-29
284,1992-01-30
285,1992-01-31
286,1992-02-03
287,1992-02-07
288,1992-02-10
289,1992-02-11
290,1992-02-12
291,1992-02-13
292,1992-02-14
293,1992-02-17
294,1992-02-18
295,1992-02-19
296,1992-02-20
297,1992-02-21
298,1992-02-24
299,1992-02-25
300,1992-02-26
301,1992-02-27
302,1992-02-28
303,1992-03-02
304,1992-03-03
305,1992-03-04
306,1992-03-05
307,1992-03-06
308,1992-03-09
309,1992-03-10
310,1992-03-11
311,1992-03-12
312,1992-03-13
313,1992-03-16
314,1992-03-17
315,1992-03-18
316,1992-03-19
317,1992-03-20
318,1992-03-23
319,1992-03-24
320,1992-03-25
321,1992-03-26
322,1992-03-27
323,1992-03-30
324,1992-03-31
325,1992-04-01
326,1992-04-02
327,1992-04-03
328,1992-04-06
329,1992-04-07
330,1992-04-08
331,1992-04-09
332,1992-04-10
333,1992-04-13
334,1992-04-14
335,1992-04-15
336,1992-04-16
337,1992-04-17
338,1992-04-20
339,1992-04-21
340,1992-04-22
341,1992-04-23
342,1992-04-24
343,1992-04-27
344,1992-04-28
345,1992-04-29
346,1992-04-30
347,1992-05-04
348,1992-05-05
349,1992-05-06
350,1992-05-07
351,1992-05-08
352,1992-05-11
353,1992-05-12
354,1992-05-13
355,1992-05-14
356,1992-05-15
357,1992-05-18
358,1992-05-19
359,1992-05-20
360,1992-05-21
361,1992-05-22
362,1992-05-25
363,1992-05-26
364,1992-05-27
365,1992-05-28
366,1992-05-29
367,1992-06-01
368,1992-06-02
369,1992-06-03
370,1992-06-04
371,1992-06-05
372,1992-06-08
373,1992-06-09
374,1992-06-10
375,1992-06-11
376,1992-06-12
377,1992-06-15
378,1992-06-16
379,1992-06-17
380,1992-06-18
381,1992-06-19
382,1992-06-22
383,1992-06-23
384,1992-06-24
385,1992-06-25
386,1992-06-26
387,1992-06-29
388,1992-06-30
389,1992-07-01
390,1992-07-02
391,1992-07-03
392,1992-07-06
393,1992-07-07
394,1992-07-08
395,1992-07-09
396,1992-07-10
397,1992-07-13
398,1992-07-14
399,1992-07-15
400,1992-07-16
401,1992-07-17
402,1992-07-20
403,1992-07-21
404,1992-07-22
405,1992-07-23
406,1992-07-24
407,1992-07-27
408,1992-07-28
409,1992-07-29
410,1992-07-30
411,1992-07-31
412,1992-08-03
413,1992-08-04
414,1992-08-05
415,1992-08-06
416,1992-08-07
417,1992-08-10
418,1992-08-11
419,1992-08-12
420,1992-08-13
421,1992-08-14
422,1992-08-17
423,1992-08-18
424,1992-08-19
425,1992-08-20
426,1992-08-21
427,1992-08-24
428,1992-08-25
429,1992-08-26
430,1992-08-27
431,1992-08-28
432,1992-08-31
433,1992-09-01
434,1992-09-02
435,1992-09-03
436,1992-09-04
437,1992-09-07
438,1992-09-08
439,1992-09-09
440,1992-09-10
441,1992-09-11
442,1992-09-14
443,1992-09-15
444,1992-09-16
445,1992-09-17
446,1992-09-18
447,1992-09-21
448,1992-09-22
449,1992-09-23
450,1992-09-24
451,1992-09-25
452,1992-09-28
453,1992-09-29
454,1992-09-30
455,1992-10-05
456,1992-10-06
457,1992-10-07
458,1992-10-08
459,1992-10-09
460,1992-10-12
461,1992-10-13
462,1992-10-14
463,1992-10-15
464,1992-10-16
465,1992-10-19
466,1992-10-20
467,1992-10-21
468,1992-10-22
469,1992-10-23
470,1992-10-26
471,1992-10-27
472,1992-10-28
473,1992-10-29
474,1992-10-30
475,1992-11-02
476,1992-11-03
477,1992-11-04
478,1992-11-05
479,1992-11-06
480,1992-11-09
481,1992-11-10
482,1992-11-11
483,1992-11-12
484,1992-11-13
485,1992-11-16
486,1992-11-17
487,1992-11-18
488,1992-11-19
489,1992-11-20
490,1992-11-23
491,1992-11-24
492,1992-11-25
493,1992-11-26
494,1992-11-27
495,1992-11-30
496,1992-12-01
497,1992-12-02
498,1992-12-03
499,1992-12-04
500,1992-12-07
501,1992-12-08
502,1992-12-09
503,1992-12-10
504,1992-12-11
505,1992-12-14
506,1992-12-15
507,1992-12-16
508,1992-12-17
509,1992-12-18
510,1992-12-21
511,1992-12-22
512,1992-12-23
513,1992-12-24
514,1992-12-25
515,1992-12-28
516,1992-12-29
517,1992-12-30
518,1992-12-31
519,1993-01-04
520,1993-01-05
521,1993-01-06
522,1993-01-07
523,1993-01-08
524,1993-01-11
525,1993-01-12
526,1993-01-13
527,1993-01-14
528,1993-01-15
529,1993-01-18
530,1993-01-19
531,1993-01-20
532,1993-01-21
533,1993-01-22
534,1993-01-27
535,1993-01-28
536,1993-01-29
537,1993-02-01
538,1993-02-02
539,1993-02-03
540,1993-02-04
541,1993-02-05
542,1993-02-08
543,1993-02-09
544,1993-02-10
545,1993-02-11
546,1993-02-12
547,1993-02-15
548,1993-02-16
549,1993-02-17
550,1993-02-18
551,1993-02-19
552,1993-02-22
553,1993-02-23
554,1993-02-24
555,1993-02-25
556,1993-02-26
557,1993-03-01
558,1993-03-02
559,1993-03-03
560,1993-03-04
561,1993-03-05
562,1993-03-08
563,1993-03-09
564,1993-03-10
565,1993-03-11
566,1993-03-12
567,1993-03-15
568,1993-03-16
569,1993-03-17
570,1993-03-18
571,1993-03-19
572,1993-03-22
573,1993-03-23
574,1993-03-24
575,1993-03-25
576,1993-03-26
577,1993-03-29
578,1993-03-30
579,1993-03-31
580,1993-04-01
581,1993-04-02
582,1993-04-05
583,1993-04-06
584,1993-04-07
585,1993-04-08
586,1993-04-09
587,1993-04-12
588,1993-04-13
589,1993-04-14
590,1993-04-15
591,1993-04-16
592,1993-04-19
593,1993-04-20
594,1993-04-21
595,1993-04-22
596,1993-04-23
597,1993-04-26
598,1993-04-27
599,1993-04-28
600,1993-04-29
601,1993-04-30
602,1993-05-03
603,1993-05-04
604,1993-05-05
605,1993-05-06
606,1993-05-07
607,1993-05-10
608,1993-05-11
609,1993-05-12
610,1993-05-13
611,1993-05-14
612,1993-05-17
613,1993-05-18
614,1993-05-19
615,1993-05-20
616,1993-05-21
617,1993-05-24
618,1993-05-25
619,1993-05-26
620,1993-05-27
621,1993-05-28
622,1993-05-31
623,1993-06-01
624,1993-06-02
625,1993-06-03
626,1993-06-04
627,1993-06-07
628,1993-06-08
629,1993-06-09
630,1993-06-10
631,1993-06-11
632,1993-06-14
633,1993-06-15
634,1993-06-16
635,1993-06-17
636,1993-06-18
637,1993-06-21
638,1993-06-22
639,1993-06-23
640,1993-06-24
641,1993-06-25
642,1993-06-28
643,1993-06-29
644,1993-06-30
645,1993-07-01
646,1993-07-02
647,1993-07-05
648,1993-07-06
649,1993-07-07
650,1993-07-08
651,1993-07-09
652,1993-07-12
653,1993-07-13
654,1993-07-14
655,1993-07-15
656,1993-07-16
657,1993-07-19
658,1993-07-20
659,1993-07-21
660,1993-07-22
661,1993-07-23
662,1993-07-26
663,1993-07-27
664,1993-07-28
665,1993-07-29
666,1993-07-30
667,1993-08-02
668,1993-08-03
669,1993-08-04
670,1993-08-05
671,1993-08-06
672,1993-08-09
673,1993-08-10
674,1993-08-11
675,1993-08-12
676,1993-08-13
677,1993-08-16
678,1993-08-17
679,1993-08-18
680,1993-08-19
681,1993-08-20
682,1993-08-23
683,1993-08-24
684,1993-08-25
685,1993-08-26
686,1993-08-27
687,1993-08-30
688,1993-08-31
689,1993-09-01
690,1993-09-02
691,1993-09-03
692,1993-09-06
693,1993-09-07
694,1993-09-08
695,1993-09-09
696,1993-09-10
697,1993-09-13
698,1993-09-14
699,1993-09-15
700,1993-09-16
701,1993-09-17
702,1993-09-20
703,1993-09-21
704,1993-09-22
705,1993-09-23
706,1993-09-24
707,1993-09-27
708,1993-09-28
709,1993-09-29
710,1993-09-30
711,1993-10-04
712,1993-10-05
713,1993-10-06
714,1993-10-07
715,1993-10-08
716,1993-10-11
717,1993-10-12
718,1993-10-13
719,1993-10-14
720,1993-10-15
721,1993-10-18
722,1993-10-19
723,1993-10-20
724,1993-10-21
725,1993-10-22
726,1993-10-25
727,1993-10-26
728,1993-10-27
729,1993-10-28
730,1993-10-29
731,1993-11-01
732,1993-11-02
733,1993-11-03
