,date,open,close,high,low,volume
0,2000-07-31,21.01,19.5,21.78,19.42,272775
1,2000-08-01,19.49,19.19,19.98,19.02,45346
2,2000-08-02,19.2,19.32,19.65,19.15,20645
3,2000-08-03,19.5,20.59,21.25,19.5,83627
4,2000-08-04,20.49,22.57,22.65,20.4,119807
5,2000-08-07,22.45,22.34,23.28,21.61,91806
6,2000-08-08,22.35,22.6,22.98,22.0,35994
7,2000-08-09,22.6,22.72,23.2,22.41,37748
8,2000-08-10,22.74,22.15,22.93,22.1,40959
9,2000-08-11,22.15,22.76,22.98,21.91,34576
10,2000-08-14,22.81,23.1,23.35,22.6,25667
11,2000-08-15,23.11,23.6,23.98,22.91,37341
12,2000-08-16,23.6,23.1,23.8,22.97,22369
13,2000-08-17,23.1,23.41,24.26,23.1,24863
14,2000-08-18,23.42,23.57,23.86,23.01,19732
15,2000-08-21,23.57,23.16,23.6,22.98,26262
16,2000-08-22,23.16,22.97,23.66,22.9,21165
17,2000-08-23,22.88,22.53,23.0,21.6,41885
18,2000-08-24,22.32,22.76,22.79,22.08,19987
19,2000-08-25,22.89,22.78,22.98,22.5,12256
20,2000-08-28,22.83,22.85,22.98,22.6,10361
21,2000-08-29,22.96,23.79,23.85,22.7,30451
22,2000-08-30,23.79,23.2,23.99,23.18,18965
23,2000-08-31,23.0,22.41,23.15,22.4,20673
24,2000-09-01,22.13,22.24,22.68,22.13,11751
25,2000-09-04,22.25,22.69,22.85,22.25,9654
26,2000-09-05,22.83,21.9,22.88,21.8,10694
27,2000-09-06,21.71,21.2,22.0,21.05,11201
28,2000-09-07,21.3,21.44,21.8,21.16,6183
29,2000-09-08,21.5,21.59,21.8,21.38,4682
30,2000-09-11,21.8,21.49,21.8,21.3,3512
31,2000-09-12,21.49,21.46,21.63,21.21,5015
32,2000-09-13,21.4,21.56,21.78,21.25,4319
33,2000-09-14,21.5,21.36,21.7,21.33,4266
34,2000-09-15,21.33,21.2,21.49,21.1,3943
35,2000-09-18,21.1,20.41,21.2,20.4,8774
36,2000-09-19,20.14,20.76,20.8,20.0,7722
37,2000-09-20,20.76,20.89,21.2,20.4,6178
38,2000-09-21,20.98,20.59,21.19,20.55,2828
39,2000-09-22,20.5,20.27,20.5,20.18,3697
40,2000-09-25,20.27,20.22,20.5,20.1,2825
41,2000-09-26,20.3,20.36,20.4,20.0,2660
42,2000-09-27,20.4,20.81,21.09,20.17,3294
43,2000-09-28,20.71,20.5,20.85,20.38,2828
44,2000-09-29,20.5,20.77,20.89,20.45,3866
45,2000-10-09,20.9,20.99,21.06,20.65,2903
46,2000-10-10,21.0,21.24,21.38,20.85,5353
47,2000-10-11,21.3,20.77,21.3,20.7,5261
48,2000-10-12,20.75,20.54,20.8,20.52,4032
49,2000-10-13,20.57,20.56,20.65,20.4,3257
50,2000-10-16,20.55,20.8,21.5,20.4,3000
51,2000-10-17,20.7,20.8,20.98,20.7,2580
52,2000-10-18,20.88,21.01,21.08,20.4,4017
53,2000-10-19,21.09,21.02,21.42,20.95,5581
54,2000-10-20,21.02,21.8,22.1,21.02,18382
55,2000-10-23,21.99,21.92,22.2,21.71,9315
56,2000-10-24,21.93,22.06,22.08,21.6,7290
57,2000-10-25,22.1,22.09,22.74,22.02,18426
58,2000-10-26,22.15,22.0,22.31,22.0,8132
59,2000-10-27,22.0,21.76,22.15,21.74,4363
60,2000-10-30,21.81,21.95,22.28,21.62,5304
61,2000-10-31,22.05,21.52,22.15,21.5,4282
62,2000-11-01,21.6,21.58,21.74,21.5,3872
63,2000-11-02,21.6,21.98,22.1,21.6,6111
64,2000-11-03,22.02,22.29,22.35,21.91,6727
65,2000-11-06,22.4,22.28,22.5,22.13,6349
66,2000-11-07,22.35,22.6,22.7,22.26,9069
67,2000-11-08,22.66,22.58,22.81,22.45,6479
68,2000-11-09,22.68,22.66,22.95,22.5,10325
69,2000-11-10,22.78,22.69,22.98,22.6,11712
70,2000-11-13,22.69,22.41,22.85,22.3,11175
71,2000-11-14,22.46,22.46,22.55,22.16,7187
72,2000-11-15,22.48,22.19,22.5,22.15,8679
73,2000-11-16,22.2,22.55,22.65,22.15,8049
